inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_is_unique, 187, end
department.c, create_department, 65, end
department.c, create_department_node, 87, end
department.c, insert_department_at_the_end, 115, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_is_unique, 187, end
department.c, create_department, 65, end
department.c, create_department_node, 87, end
department.c, insert_department_at_the_end, 115, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_is_unique, 187, end
department.c, create_department, 65, end
department.c, create_department_node, 87, end
department.c, insert_department_at_the_end, 115, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_is_unique, 187, end
department.c, create_department, 65, end
department.c, create_department_node, 87, end
department.c, insert_department_at_the_end, 115, end
inter_relations.c, load_department_list_from_file, 414, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_syntax_validity, 194, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_is_unique, 226, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
student.c, check_student_name_validity, 265, end
student.c, create_student, 66, end
student.c, create_student_node, 88, end
student.c, insert_student_at_the_end, 116, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_syntax_validity, 194, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_is_unique, 226, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
student.c, check_student_name_validity, 265, end
student.c, create_student, 66, end
student.c, create_student_node, 88, end
student.c, insert_student_at_the_end, 116, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_syntax_validity, 194, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_is_unique, 226, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
student.c, check_student_name_validity, 265, end
student.c, create_student, 66, end
student.c, create_student_node, 88, end
student.c, insert_student_at_the_end, 116, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_syntax_validity, 194, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_is_unique, 226, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
student.c, check_student_name_validity, 265, end
student.c, create_student, 66, end
student.c, create_student_node, 88, end
student.c, insert_student_at_the_end, 116, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_syntax_validity, 194, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_is_unique, 226, end
inter_relations.c, check_id, 37, begin
department.c, check_department_id_value_validity, 160, end
inter_relations.c, check_id, 37, begin
student.c, check_student_name_validity, 265, end
student.c, create_student, 66, end
student.c, create_student_node, 88, end
student.c, insert_student_at_the_end, 116, end
inter_relations.c, load_student_list_from_file, 582, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_syntax_validity, 194, end
inter_relations.c, check_id, 37, begin
inter_relations.c, check_id, 37, begin
grade.c, create_grade, 52, end
grade.c, create_grade_node, 74, end
grade.c, insert_grade_at_the_end, 103, end
inter_relations.c, check_id, 37, begin
student.c, check_student_id_syntax_validity, 194, end
inter_relations.c, check_id, 37, begin
inter_relations.c, check_id, 37, begin
grade.c, create_grade, 52, end
grade.c, create_grade_node, 74, end
grade.c, insert_grade_at_the_end, 103, end
inter_relations.c, load_grade_list_from_file, 711, end
